Belt Speed,Competitor,AngleOn
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
15,0.00021,0.000203
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
50,0.000321,0.000287
4,0.000025,0.000025
4,0.000025,0.000025
4,0.000025,0.000025
4,0.000025,0.000025
4,0.000025,0.000025
4,0.000025,0.000025
8,0.000107,0.000109
8,0.000107,0.000109
8,0.000107,0.000109
8,0.000107,0.000109
8,0.000107,0.000109
8,0.000107,0.000109
30,0.000276,0.000261
30,0.000276,0.000261
30,0.000276,0.000261
30,0.000276,0.000261
30,0.000276,0.000261
30,0.000276,0.000261
